Group_name	Atlas_name	Plates	Region
OrbitalCortex-R	-	-	MO-R VO-R LO-R DLO-RLimbicCortex-R	-	-	PrL-R DP-R IL-R Fr3-R
CingulateCortex-R	-	-	Cg-R Cg1-R Cg2-R
InsularCortex-R	-	-	DI-R GI-R AIP-R AID-R AIV-R
MotorCortex-R	-	-	M1-R M2-R
SomatosensoryCortex-R	-	-	S1-R S1BF-R S1Tr-R S1HL-R S1FL-R S1J-R S1ULp-R S1Sh-R S1DZ-R S1DZO-R S2-R
PiriformCortex-R	-	-	DEn-R IEn-R VEn-R Pir1-R Pir2-R Pir3-R APir3-R APir-R RaPir-R
RetrosplenialCortex-R	-	-	RSD-R RSGb-R RSGa-R RSGc-R
ParietalCortex-R	-	-	PtPR-R PtPC-R PtPD-R LPtA-R MPtA-R
AuditoryCortex-R	-	-	Au1-R Auv-R AuD-R TeA-R
RhinalCortex-R	-	-	Ect-R PRh-R
EntorhinalCortex-R	-	-	DLEnt-R DIEnt-R VIEnt-R MEnt-R MEntR-R CEnt-R
VisualCortex-R	-	-	V1-R V1B-R V1M-R V2L-R V2MM-R V2ML-R
Septum-R	-	-	TS-R MS-R LSI-R LSI1-R LSI2-R LSI3-R LSI4-R LSD-R LSV-R Ld-R PLd-R SHi-R SHy-R StHy-R vhc-R
DentateGyrus-R	-	-	MoDG-R PoDG-R GrDG-R
CA1Region-R	-	-	CA1-R OrCA1-R PyCA1-R RadCA1-R
CA2Region-R	-	-	CA2-R OrCA2-R PyCA2-R RadCA2-R
CA3Region-R	-	-	CA3-R OrCA3-R PyCA3-R RadCA3-R SLuCA3-R
Subiculum-R	-	-	PrS-R PaS-R VS-R DS-R Post-R MoS-R STr-R
Fimbria-R	-	-	SFi-R fi-RResidualHippocampus-R	-	-	Or-R Py-R Rad-R SLu-R LMol-R
Claustrum-R	-	-	DCl-R VCl-R Cl-R
Striatum-R	-	-	LSS-R CPu-R GP-R
BasalForebrain-R	-	-	HDB-R VDB-R VP-R cp-R EP-R B-R IPAC-R IPACM-R IPACL-R Nv-R mfb-R PIF-R IF-R IPL-R ICj-R IPR-R IPC-R SIB-R Acb-R AcbC-R AcbSh-R LAcbSh-R
SubstantiaNigra-R	-	-	 SNR-R SNL-R SNCD-R SNCV-R
SuperiorColliculus-R	-	-	 SuG-R Op-R DpG-R InWh-R InG-R DpWh-R Zo-R bsc-R
InferiorColliculus-R	-	-	 Com-R
DPAG-R	-	-	PAG-R PlPAG-R LPAG-R DLPAG-R DMPAG-R
VPAG-R	-	-	DRD-R DRV-R DTgP-R VLPAG-R p1PAG-R Dk-R 3N-R MA3-R InC-R Su3-R Lth-R
DThalamus-R	-	-	LDVL-R LDDM-R AVVL-R AVDM-R AMV-R PT-R AD-R IAD-R LPLC-R LPLR-R LPMR-R LPMC-R OT-R DMDL-R MDL-R CL-R CM-R PC-R PVA-R PV-R PVP-R AM-R IAM-R IMD-R MD-R MDC-R MDM-R PF-R RPF-R str-R AngT-R OPC-R
VThalamus-R	-	-	PoT-R Po-R VPL-R VPM-R VPPC-R VA-R VL-R VM-R VA/VL-R Re-R VRe-R Rh-R PaXi-R SubD-R SubV-R Sub-R Xi-R Eth-R REth-R sm-R eml-R PIL-R ml-R PP-R RRe-R Sc-R
Habenulla-R	-	-	LHb-R LHbM-R MHb-R LHbL-R
ZonaIncerta-R	-	-	ZI-R ZIC-R ZIR-R ZID-R ZIV-R SubI-R
PretectalNuclei-R	-	-	PPT-R OPT-R MPT-R APTD-R APTV-R
GeniculateNuclei-R	-	-	DLG-R MGV-R MGD-R MZMG-R MGM-R bic-R SubG-R SubB-R VG-R VG1-R VG2-R VG3-R IGL-R SG-R
ReticularFormation-R	-	-	Rt-R mRt-R p1Rt-R
BasalAmygdala-R	-	-	BMA-R BLA-R BLV-R BLP-R BMP-R
LateralAmygdala-R	-	-	LaDL-R LaVL-R LaVM-R LA-R
CentromedialAmygdala-R	-	-	MeAD-R CeM-R CeC-R MeAV-R CeL-R MePD-R MePV-R
CorticalAmygdala-R	-	-	ACo-R PMCo-R PLCo-R PLCo1-R
ResidualAmygdala-R	-	-	CxA1-R CxA2-R CxA3-R AA-R I-R EAC-R EAM-R EA-R IM-R STIA-R IMG-R AHiAL-R ASt-R APir-R AHiPM-R AHiPL-R
