Group_name	Atlas_name	Plates	Region
Vessels	-	-	uppervessel lowervessel ach azac acer mcer basalvessel vessel sinus lhia anteriorvessel
[SR]AnteriorCortex	-	-	MO VO LO DLO PrL DP IL Fr3 Cg Cg1 Cg2 DI GI AIP AID AIV M1 M2 S1 S1BF S1Tr S1HL S1FL S1J S1ULp S1Sh S1DZ S1DZO S2 DEn IEn VEn Pir1 Pir2 Pir3 APir3 APir RaPir
[SR]PosteriorCortex	-	-	RSD RSGb RSGa RSGc PtPR PtPC PtPD LPtA MPtA DLEnt DIEnt VIEnt MEnt MEntR CEnt V1 V1B V1M V2L V2MM V2ML Ect PRh
[SR]HippocampalFormation	-	-	MoDG PoDG GrDG CA1 OrCA1 PyCA1 RadCA1 CA2 OrCA2 PyCA2 RadCA2 CA3 OrCA3 PyCA3 RadCA3 SLuCA3 Or Py Rad SLu LMol PrS PaS VS DS Post MoS STr SFi fi
[SR]Midbrain	-	-	LSS CPu GP HDB VDB VP cp EP B IPAC IPACM IPACL Nv mfb PIF IF IPL ICj IPR IPC SIB Acb AcbC AcbSh LAcbSh SNR SNL SNCD SNCV TS MS LSI LSI1 LSI2 LSI3 LSI4 LSD LSV Ld PLd SHi SHy StHy vhc st STIA STMPM STMAL STMAM STLV STLI STLP STMA STMPL STMPI STLD PS SuG Op DpG InWh InG DpWh Zo bsc Com
[SR]Thalamus	-	-	PAG PlPAG LPAG DLPAG DMPAG DRD DRV DTgP VLPAG p1PAG Dk 3N MA3 InC Su3 Lth LDVL LDDM AVVL AVDM AMV PT AD IAD LPLC LPLR LPMR LPMC OT DMDL MDL CL CM PC PVA PV PVP AM IAM IMD MD MDC MDM PF RPF str AngT OPC PoT Po VPL VPM VPPC VA VL VM VA/VL Re VRe Rh PaXi SubD SubV Sub Xi Eth REth sm eml PIL ml PP RRe Sc LHb LHbM MHb LHbL ZI ZIC ZIR ZID ZIV SubI PPT OPT MPT APTD APTV DLG MGV MGD MZMG MGM bic SubG SubB VG VG1 VG2 VG3 IGL SG Rt mRt p1Rt
[SR]Amygdala	-	-	BMA BLA BLV BLP BMP LaDL LaVL LaVM LA MeAD CeM CeC MeAV CeL MePD MePV ACo PMCo PLCo PLCo1 CxA1 CxA2 CxA3 AA I EAC EAM EA IM STIA IMG AHiAL ASt APir AHiPM AHiPL
[SR]Hypothalamus	-	-	RMC RPC STh scp PR PaR F A13 A1 A11 PaLM PaMM PaAP PaMP PaPo PaV SPF DA RI SPFPC fr CLi SpA Stg PHA rs PH PLH PeFLH Pe PeF AVPe PHD JPLH MCLH TuLH AH AHA AHC AHP LA ANS DMC DMD DMV VLH VMH VMHC VMHSh VMHDM VMHVL Arc ArcD ArcL ArcMP ArcM RRF tth Te VTAR PBP PBPI PBPm PN vtgx MCPO LPO MPOL MPOM MPA VOLT MnPO PDPO VLPO ESO SO MPO MPOC VMPO SuM SuMM SuML LM ML MM MnM DTM VTM PMV PMD mt smt pm mp MTu Tu1 Tu2 Tu3 LOT1 LOT2 LOT3 AOVP AOP AOM AOD AOL AOV AOE GrO DTT1 DTT2 DTT3 lo BAOT
[SR]Other	-	-	Cb Fl RLi MnR PnR PnC Pn PnV 8n VCA s5 Pi opt SCh SChVM SChDL RCh RChL sox och InCSh LT mlf alv fmj fmi dcw dhc ic f cc cg csc pc PrC PCom ac acp aca MCPC cbw D3V 3V LV chp IVF MRe Aq E DCl VCl Cl
gcv-upper	-	-	gcv-upper-r gcv-upper-c
gcv-lower	-	-	gcv-lower-r gcv-lower-c
acer	-	-	acer-L acer-R
mcer	-	-	mcer-L mcer-R
pcer	-	-	pcer-L pcer-R
ach	-	-	ach-L ach-R
lhia	-	-	lhia-L lhia-R
lhiv	-	-	lhiv-L lhiv-R
choroidplexus	-	-	choroidplexus-L choroidplexus-R
